Skrót ,Pełna Nazwa,Kraj ,Typ 
BCN1,"BCN1
AV. DE LES GARRIGUES NÚM. 6-8
EL PRAT DE LLOBREGAT, SPAIN
8820",INTERNATIONAL ,INTERNATIONAL 
BCN4,"BCN4     
POLIGON LOGIS EMPORDA, PARCELA 1
EL FAR DEMPORDA
GIRONA, CATALONIA
17469",INTERNATIONAL ,INTERNATIONAL 
BER3,"BER3
HAVELLANDSTRASSE
BRIESELANG, BB
14656",INTERNATIONAL ,INTERNATIONAL 
BER8,"BER8
AM MÖLLENPFUHL 2
SCHÖNEFELD, BRANDENBURG
12529",INTERNATIONAL ,INTERNATIONAL 
BGY1,"BGY1
STRADA PROVINCIALE 98 MORNICO AL. SERIO CALCIO
CIVIDATE AL PIANO, BERGAMO  (SP 98) 
24050",INTERNATIONAL ,INTERNATIONAL 
BLQ1,"BLQ1
45020 SAN BELLINO
45020, ROVIGO, VENETO, ITALY
45020",INTERNATIONAL ,INTERNATIONAL 
BRE2,"BRE2
VECHTAER STRASSE 35
GEBAEUDENUMMER 207
GROSSENKNETEN, NIEDERSACHSEN 26197",INTERNATIONAL ,INTERNATIONAL 
BRE4,"BRE4
MAX-NAUMANN-STRASSE 1
ACHIM, LOWER SAXONY
28832",INTERNATIONAL ,INTERNATIONAL 
BRQ2,"BRQ2
AMAZON BRQ2
1511 PADLÝCH HRDINŮ
KOJETIN, KOJETIN
752 01",INTERNATIONAL ,INTERNATIONAL 
BRS1,"BRS1
GOLDCREST WAY, SEVERN BEACH
BRISTOL, SOUTH WEST
BS35 4DJ",INTERNATIONAL ,INTERNATIONAL 
BRS2,"BRS2
UNIT 2, SYMMETRY PARK
LAINES WAY, SOUTH MARSTON
SN3 4DB, SWINDON, WILTSHIRE, UNITED KINGDOM
SN3 4DB",INTERNATIONAL ,INTERNATIONAL 
BVA1,"BVA1
1, AVENUE DU SUPERBE ORÉNOQUE
BOVES, HAUTS-DE-FRANCE
80440",INTERNATIONAL ,INTERNATIONAL 
CDE9,"CDE9
INDUSTRIEGEBIET NIEDERLEHME
ROBERT GUTHMANN STR 30
KÖNIGS WUSTERHAUSEN, KOENIGS WUSTERHAUSEN
15713",INTERNATIONAL ,INTERNATIONAL 
CGE9,"CGE9
STEINAUER WEG 7
AURACH, BAVARIA
91589",INTERNATIONAL ,INTERNATIONAL 
CGN1,"CGN1
AMAZONSTRASSE 1 INDUSTRIEPARK 61
KOBERN-GONDORF, RP
56330",INTERNATIONAL ,INTERNATIONAL 
DBB1,"DBB1
AM MAGNA PARK 12
WERDER (HAVEL), BRANDENBURG
14542",INTERNATIONAL ,INTERNATIONAL 
DBE2,"DBE2
DEDERINGSTRASSE 3-19
12107, BERLIN, BERLIN, GERMANY
12107",INTERNATIONAL ,INTERNATIONAL 
DBE3,"DBE3
DIGITALSTRASSE 2-6
HOPPEGARTEN, BRANDENBURG
15366",INTERNATIONAL ,INTERNATIONAL 
DHE1,"DHE1
TIBERSTRASSE 2
RAUNHEIM, HESSE
65479",INTERNATIONAL ,INTERNATIONAL 
DSY1,"DSY1
HANS-WITTWER-STRASSE, 20
04435, SCHKEUDITZ, SAXONY, LEIPZIG, GERMANY
04435",INTERNATIONAL ,INTERNATIONAL 
DSY2,"DSY2
AM MART 9
01561, LAMPERTSWALDE, SAXONY, GERMANY
01561",INTERNATIONAL ,INTERNATIONAL 
